"Pais de Nacimiento",Casos
Argentina,8611
Aruba,410
Barbados,82
Bolivia,1814
Brasil,4766
Canada,952
Chile,15530
Colombia,609196
Costa Rica,1163
Cuba,9795
Dominicana,8
Ecuador,28625
El Salvador,896
Estados Unidos,10028
Granada,232
Guatemala,424
Guyana,6612
Haiti,1661
Honduras,305
Mexico,3075
Nicaragua,1905
Panama,963
Per�,35871
Puerto Rico,527
Rep�blica Dominicana,14109
Santa Lucia,25
Suriname,60
Trinidad y Tobago,2729
Uruguay,4631
Otros Paises de Amarica,1436
Egipto,255
Libia,117
Marruecos,1061
Rep�blica Sudafricana,64
Otros Paises de Africa,809
Arabia Saudita,1196
China Continental,9854
Iran,116
Israel,593
Japon,446
Jordania,261
Libano,6631
Otros Paises de Asia,15830
Alemania,3926
Austria,792
B�lgica,387
Espa�a,76648
Francia,3610
Grecia,762
Holanda,595
Inglaterra,1614
Italia,49337
Portugal,53477
Suecia,138
Suiza,644
Yugoslavia,696
Otros Paises de Europa,4761
Otros Paises de Ocean�a,145
Extranjero pa�s no declarado,14332
