Rubros,19 al 23 Ago,26 al 30 Ago
QUESO DURO 1KG,34960,39925
LECHE EN POLVO 1KG,70400,89500
MORTADELA 1KG,31914,35250
PESCADO ATUN FRESCO,56214,34800
CURBINA,23633,22400
SARDINA FRESCA,5250,4333
PESCADO BONITA,23133,21875
PESCADO RONCADOR,24533,24788
PESCADO COROCORO,23740,18738
PESCADO BAGRE,20360,15900
PEPITONAS FRESCAS,16069,21125
PESCADO BOCA CHICA,27500,
PESCADO SALADO,35800,34000
HUEVOS,43000,59250
CARNE DE CERDO,45657,52067
CARNE DE RES,42857,48267
POLLO,30357,33575
PECHUGA DE POLLO,35286,38000
MUSLO DE POLLO,33950,38000
