Rubros,15 al 20 Jul,22 al 26 Ago
QUESO DURO 1KG,17574,20657
LECHE EN POLVO 1 KG,45750,46000
MORTADELA 1KG,21550,18925
PESCADO ATUN FRESCO,32360,27450
CURBINA,13860,20833
SARDINA FRESCA,2333,2350
COJINUA,9333,
PESCADO BONITA,11250,12000
PESCADO RONCADOR,13000,13133
PESCADO COROCORO,13356,11697
PESCADO BAGRE,11133,11900
PEPITONAS FRESCAS,9413,11667
PESCADO BOCA CHICA,10000,
PESCADO SALADO,18400,20875
HUEVOS,26400,26714
CARNE DE CERDO,21900,27330
CARNE DE RES,22322,26160
POLLO,13666,17625
PECHUGA DE POLLO,18221,23000
MUSLO DE POLLO,15667,20000
